prob_class_0,prob_class_1,true_label
0.21000761,0.78999233,0
0.03370868,0.96629137,1
0.9586493,0.041350737,0
0.0104028545,0.98959714,1
0.108970515,0.89102954,1
0.2525853,0.7474147,1
0.9238424,0.076157615,0
0.7707683,0.22923173,0
0.8358928,0.16410725,0
0.92734,0.07266008,0
0.069903985,0.9300961,1
0.80993557,0.19006446,0
0.18642437,0.8135756,1
0.93925285,0.06074714,0
0.7621141,0.23788592,0
0.84458846,0.15541156,0
0.11031004,0.8896899,1
0.09823782,0.9017621,1
0.014216123,0.98578393,1
0.010045224,0.9899547,1
0.18205993,0.81794,1
0.94794244,0.052057587,0
0.16499026,0.83500975,0
0.092486635,0.9075134,1
0.73072785,0.2692722,0
0.39988685,0.6001132,1
0.030368933,0.9696311,1
0.8271948,0.17280522,0
0.87230325,0.12769678,0
0.04745576,0.9525443,0
0.01593224,0.9840678,1
0.84458846,0.15541156,0
0.86715,0.13284999,0
0.7555973,0.24440265,1
0.840473,0.15952697,0
0.29136324,0.70863676,0
0.01730261,0.9826974,1
0.86795455,0.13204542,0
0.042425036,0.957575,1
0.78961796,0.21038207,0
0.008888469,0.99111146,1
0.7927688,0.20723121,0
0.2871253,0.7128747,1
0.04119757,0.9588024,1
0.050394513,0.9496055,0
0.9271693,0.07283066,0
0.8913623,0.1086377,0
0.023643257,0.97635674,1
0.2599221,0.74007785,1
0.19893514,0.80106485,1
0.84458846,0.15541156,0
0.019445425,0.9805546,1
0.01568871,0.9843113,1
0.8533752,0.1466248,0
0.765956,0.23404406,0
0.03146692,0.96853304,1
0.83902836,0.16097161,0
0.8913802,0.10861975,0
0.053532,0.94646794,1
0.83843,0.16157,1
0.9075496,0.09245037,0
0.06645299,0.933547,1
0.40139908,0.5986009,1
0.018513493,0.9814865,1
0.1079338,0.89206624,1
0.015384846,0.98461515,1
0.024240497,0.97575945,1
0.9586493,0.041350737,0
0.2144112,0.78558874,0
0.81666696,0.183333,0
0.6585103,0.34148964,1
0.10980981,0.8901901,0
0.020598663,0.97940135,1
0.84458846,0.15541156,0
0.79970926,0.2002907,1
0.9586493,0.041350737,0
0.8079577,0.1920423,1
0.50996244,0.4900376,0
0.9460769,0.053923007,0
0.8449427,0.1550573,0
0.003946935,0.9960531,1
0.927133,0.07286699,1
0.9586493,0.041350737,0
0.036083516,0.96391654,1
0.7661913,0.23380867,0
0.84458846,0.15541156,1
0.94100034,0.058999617,0
0.7662669,0.23373307,0
0.23771052,0.76228946,1
0.96114814,0.038851786,0
0.5190789,0.4809211,1
0.295483,0.704517,0
0.006073629,0.99392635,1
0.065587915,0.9344121,1
0.16658625,0.8334138,1
0.38836864,0.6116314,1
0.51150465,0.4884953,0
0.49587232,0.50412774,0
0.8950467,0.10495323,0
0.47856233,0.52143764,1
0.8877997,0.11220036,0
0.9319901,0.06800995,0
0.8926254,0.10737462,0
0.865043,0.13495703,0
0.84458846,0.15541156,0
0.74854225,0.25145778,0
0.90195024,0.098049805,1
0.9549167,0.045083277,0
0.43712956,0.5628704,1
0.9135289,0.08647111,0
0.8561462,0.14385375,0
0.9212006,0.07879946,0
0.09373235,0.90626764,1
0.5425416,0.4574584,0
0.08756764,0.91243243,1
0.5600066,0.43999338,0
0.013509627,0.98649037,1
0.053402755,0.9465973,0
0.027360957,0.972639,1
0.84458846,0.15541156,0
0.19901259,0.8009874,1
0.80095845,0.19904147,1
0.826332,0.1736681,0
0.959238,0.040762004,0
0.8890051,0.11099486,1
0.91508013,0.08491986,0
0.6906961,0.30930385,0
0.12749067,0.8725093,1
0.9562337,0.043766312,0
0.4978473,0.50215274,1
0.2546504,0.7453495,0
0.015857205,0.98414284,1
0.673108,0.32689202,0
0.72012585,0.27987418,0
0.025211575,0.9747884,1
0.015282045,0.9847179,0
0.96114814,0.038851786,0
0.011035656,0.9889643,1
0.33175457,0.66824543,1
0.7445231,0.2554769,0
0.3894591,0.6105409,1
0.918602,0.08139799,1
0.84458846,0.15541156,0
0.96114814,0.038851786,0
0.9301566,0.06984339,0
0.11187059,0.8881294,1
0.9368383,0.0631617,0
0.7978744,0.20212564,0
0.94257843,0.05742155,0
0.89240843,0.107591555,0
0.17852533,0.8214746,0
0.84458846,0.15541156,0
0.11080458,0.8891954,1
0.009375746,0.99062425,1
0.699939,0.300061,0
0.8452071,0.1547929,0
0.9422389,0.05776106,0
0.9398058,0.060194224,0
0.048394073,0.9516059,1
0.35157883,0.64842117,1
0.8511127,0.1488872,0
0.8459233,0.15407665,1
0.756807,0.24319293,0
0.84458846,0.15541156,0
0.5167779,0.4832222,0
0.8964526,0.103547364,0
0.39358258,0.6064175,1
0.76254296,0.237457,1
0.018175775,0.9818242,1
0.9586493,0.041350737,0
0.6461831,0.3538169,1
0.81734055,0.18265943,1
0.76107705,0.23892297,0
0.087763004,0.9122369,1
0.9356328,0.06436713,0
0.012288239,0.9877117,1
0.90044725,0.09955279,0
0.78957283,0.21042718,0
0.82027775,0.1797223,0
0.61647516,0.3835249,0
0.69862384,0.3013762,1
0.84458846,0.15541156,0
0.07541567,0.9245844,1
0.78898746,0.21101248,0
