prob_class_0,prob_class_1,prob_class_2,true_label
0.39408702,0.33222163,0.27369136,0
0.9010248,0.054396674,0.04457846,0
0.87939703,0.04181456,0.07878839,0
0.8884774,0.048969015,0.06255355,0
0.30835283,0.42924488,0.26240233,0
0.36957055,0.40024632,0.23018318,1
0.87044734,0.049978364,0.07957424,0
0.57653797,0.14033349,0.28312856,2
0.48282564,0.44681093,0.07036338,0
0.87938267,0.06510232,0.05551502,0
0.904798,0.041012008,0.054190047,0
0.487343,0.4614016,0.051255427,1
0.6027165,0.15081824,0.24646525,1
0.8048277,0.044312395,0.15085994,0
0.49299455,0.38697684,0.12002856,0
0.9113308,0.050890945,0.037778243,0
0.48371243,0.40043002,0.11585746,2
0.948094,0.025148813,0.026757231,0
0.9092954,0.060251284,0.030453337,0
0.31762028,0.55670387,0.1256759,2
0.78573954,0.09380196,0.12045851,0
0.24423286,0.41304502,0.34272215,2
0.5711845,0.2531367,0.17567883,0
0.87653816,0.07513816,0.04832364,0
0.8350047,0.041246466,0.12374892,0
0.4361073,0.44129646,0.12259614,1
0.56440216,0.019593265,0.4160045,0
0.45303416,0.26848808,0.27847773,2
0.13667168,0.79209137,0.07123697,1
0.5094718,0.29455268,0.19597551,1
0.5723317,0.13486978,0.29279843,1
0.93239635,0.030849924,0.036753684,0
0.81731987,0.1471369,0.035543233,1
0.7414046,0.17180541,0.08678998,0
0.46915293,0.08723709,0.44360995,0
0.9261948,0.02800789,0.04579738,0
0.92615485,0.010618467,0.06322674,0
0.17154534,0.3498495,0.47860515,1
0.85492337,0.07860996,0.0664667,0
0.83128464,0.028061435,0.14065392,0
0.8492949,0.06932457,0.08138047,0
0.31672612,0.24520117,0.43807277,1
0.5621018,0.2294533,0.20844491,2
0.89030635,0.024488293,0.085205294,1
0.55996,0.33762997,0.10241005,0
0.77417517,0.12626746,0.099557474,1
0.77296734,0.039765466,0.1872672,2
0.9478062,0.024047896,0.028145924,0
0.43294635,0.4602291,0.10682454,0
0.8034059,0.085907035,0.110687084,0
0.87049776,0.022649007,0.106853195,0
0.6635802,0.24876386,0.08765597,1
0.93831193,0.033490866,0.02819725,0
0.46599123,0.40437785,0.12963091,1
0.7332481,0.1014973,0.1652545,0
0.5325748,0.4012564,0.066168815,2
0.5316739,0.15546368,0.3128625,0
0.8446504,0.10341202,0.051937647,0
0.31771737,0.6078498,0.07443285,1
0.37317201,0.394673,0.23215495,1
0.79080945,0.085912965,0.123277605,1
0.61955726,0.1969163,0.18352647,2
0.79393,0.054805934,0.15126401,0
0.6416462,0.028897611,0.32945612,2
0.8356814,0.0797281,0.084590554,0
0.9296997,0.040728696,0.029571574,0
0.92660356,0.014834757,0.05856171,0
0.7254502,0.102111004,0.1724387,0
0.6917227,0.042573772,0.26570356,0
0.67218393,0.13905208,0.18876395,0
0.91567576,0.03010291,0.054221317,0
0.40219012,0.27009392,0.32771593,2
0.67326844,0.06842017,0.2583114,0
