prob_class_0,prob_class_1,prob_class_2,true_label
0.74753773,0.08167394,0.17078836,0
0.8763332,0.0409305,0.08273634,0
0.3107508,0.50899,0.1802592,1
0.3354767,0.30498564,0.35953766,2
0.7588878,0.11746067,0.12365148,2
0.7077447,0.12089961,0.17135566,0
0.4651027,0.4512678,0.083629444,1
0.89371085,0.052172564,0.054116517,0
0.84696466,0.04037992,0.1126554,0
0.6017493,0.262247,0.13600375,0
0.8527798,0.05175588,0.09546439,0
0.7376052,0.16707805,0.09531671,0
0.7381519,0.16345727,0.098390736,0
0.68787223,0.19180894,0.12031879,2
0.86259437,0.09437576,0.04302987,0
0.46468064,0.39805678,0.1372626,1
0.86732215,0.073239654,0.059438203,1
0.055768106,0.8989125,0.04531947,1
0.90460396,0.045821767,0.049574316,0
0.86850667,0.098186985,0.03330641,1
0.6222976,0.2329883,0.14471412,1
0.35070038,0.45975536,0.1895442,1
0.8038985,0.08337558,0.112725824,0
0.5239934,0.36364996,0.112356625,1
0.7782673,0.071113914,0.15061875,1
0.8345384,0.07438685,0.091074824,0
0.8180862,0.09544771,0.08646608,2
0.86720467,0.04994596,0.08284937,0
0.6281044,0.14553781,0.22635783,0
0.8528175,0.0660644,0.08111808,0
0.28554243,0.37122294,0.34323466,0
0.65621805,0.16969681,0.17408513,0
0.31708494,0.50819594,0.17471915,0
0.37966686,0.25044635,0.3698868,2
0.88732266,0.066519424,0.046157904,0
0.7674634,0.122469194,0.11006739,0
0.90773803,0.055830434,0.03643157,0
0.2834314,0.55778885,0.15877973,0
0.21514502,0.5220224,0.26283255,0
0.6039044,0.36556837,0.03052721,1
0.71729445,0.170173,0.112532474,1
0.89986897,0.04711397,0.05301711,0
0.84570336,0.060764436,0.09353221,0
0.14143713,0.49354914,0.36501375,2
0.75861627,0.094492696,0.14689101,0
0.37480283,0.31711888,0.30807826,1
0.6905381,0.1262669,0.18319502,0
0.61613864,0.28072995,0.10313136,0
0.52088976,0.2553554,0.22375485,2
0.8415521,0.079313144,0.0791348,0
0.22306778,0.38931075,0.3876215,0
0.44110617,0.3032536,0.25564018,2
0.87490815,0.06297077,0.062121075,0
0.53000593,0.24127202,0.2287221,0
0.8179113,0.11356357,0.06852517,1
0.8275003,0.08676786,0.08573186,0
0.7344125,0.22835894,0.03722855,0
0.8453675,0.045553938,0.109078564,0
0.3504225,0.40264717,0.24693024,0
0.18233685,0.4384839,0.37917927,2
0.37480283,0.3171189,0.3080783,1
0.68211496,0.16263767,0.1552474,0
0.7233533,0.11656648,0.16008013,0
0.55351835,0.31895688,0.12752478,0
0.53249186,0.23721236,0.23029585,2
0.38288704,0.48857892,0.12853405,0
0.95037967,0.018903065,0.03071717,0
0.58314264,0.27361402,0.1432434,0
0.21078296,0.5062001,0.283017,1
0.8147499,0.07457205,0.110677965,0
0.9325673,0.035574496,0.03185814,2
0.33848846,0.5220203,0.13949129,1
0.7357214,0.17361508,0.09066353,0
