prob_class_0,prob_class_1,prob_class_2,true_label
0.6234781,0.25284648,0.12367538,0
0.7011407,0.17581485,0.12304446,1
0.7324367,0.20796883,0.059594434,1
0.7467115,0.14631183,0.10697663,0
0.6551205,0.185422,0.15945756,0
0.8839117,0.08128777,0.03480048,1
0.5993253,0.24831769,0.15235707,2
0.7549578,0.19264752,0.05239466,0
0.4888909,0.30160838,0.20950076,0
0.4405342,0.32755625,0.23190953,2
0.76426154,0.18558356,0.050154865,0
0.92998993,0.04480581,0.025204211,0
0.45878688,0.31961662,0.22159646,1
0.59945387,0.20000851,0.20053765,1
0.49542403,0.3390709,0.16550511,0
0.17977808,0.52864045,0.29158142,2
0.76426154,0.18558356,0.050154865,0
0.85698736,0.079278216,0.063734375,2
0.76426154,0.18558356,0.050154865,2
0.8887726,0.075174466,0.03605294,0
0.6541027,0.2676323,0.078265026,1
0.7348382,0.1451042,0.12005761,0
0.27117026,0.5245119,0.20431782,0
0.7560524,0.18798804,0.055959594,0
0.7531195,0.18412149,0.062759034,1
0.8332358,0.111962885,0.054801315,2
0.76449794,0.14129364,0.09420838,0
0.7549578,0.19264752,0.05239466,1
0.8375211,0.08817458,0.07430435,0
0.5365556,0.26449966,0.19894479,1
0.6833497,0.1694166,0.14723365,2
0.40595776,0.33843407,0.25560814,0
0.8079979,0.13235387,0.059648234,0
0.54503906,0.2758988,0.17906213,0
0.77096313,0.12117136,0.10786546,0
0.85408634,0.07948587,0.06642775,0
0.45387045,0.29620275,0.24992673,1
0.94927335,0.02743361,0.023293095,0
0.57261735,0.2713515,0.15603107,0
0.5958286,0.30174935,0.102421984,2
0.2729586,0.52362883,0.20341259,1
0.2729586,0.52362883,0.20341259,1
0.8708375,0.08433792,0.044824563,0
0.564874,0.23640715,0.19871882,0
0.89877534,0.063487634,0.037737,0
0.8103135,0.10969562,0.07999079,0
0.78222054,0.1460043,0.0717752,0
0.74714893,0.19572614,0.057124835,2
0.7549578,0.19264752,0.05239466,0
0.72452575,0.20959942,0.065874785,0
0.67724216,0.18337324,0.13938463,0
0.7549578,0.19264752,0.05239466,2
0.23672475,0.4397869,0.32348832,1
0.17414728,0.5316819,0.29417086,1
0.6178924,0.21285774,0.1692499,0
0.65801454,0.18278825,0.15919724,0
0.7939929,0.11289994,0.093107134,0
0.7867612,0.13685909,0.07637968,0
0.7556155,0.1878214,0.056563143,0
0.89870876,0.059069153,0.042222105,0
0.94417375,0.029568162,0.026258169,0
0.59036076,0.2672024,0.1424368,0
0.27937168,0.5422587,0.17836972,1
0.6793762,0.19121073,0.12941311,0
0.79571694,0.12000797,0.084275104,0
0.4737202,0.38663548,0.13964428,0
0.77481884,0.15443674,0.070744365,0
0.73641026,0.17225184,0.091337934,1
0.769778,0.13801202,0.09220996,0
0.8046189,0.106000416,0.08938074,0
0.74746394,0.13800801,0.11452796,1
0.48946467,0.35508892,0.1554464,0
0.7871566,0.1395267,0.07331671,1
