prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,prob_class_8,prob_class_9,prob_class_10,prob_class_11,prob_class_12,prob_class_13,prob_class_14,prob_class_15,prob_class_16,prob_class_17,prob_class_18,true_label
1.0691373564459356e-06,2.035599530453076e-06,1.2910075401050344e-07,0.9999711314927645,1.138510339869715e-07,6.570557137231468e-07,3.6669109225504444e-06,2.4343768149809236e-08,9.391680552875624e-06,3.4242348124764474e-06,3.146198363228191e-07,4.3753935294943734e-07,6.69778462161587e-06,1.0388473159780091e-07,3.484520643249367e-07,1.7268320381688785e-07,8.812073994139586e-08,7.791991636965239e-08,1.1558832385783813e-07,3
3.689772314891559e-07,2.6046915460991976e-06,3.0160063326796836e-05,4.464335318842591e-06,4.997859170717945e-07,5.081920448983644e-07,8.333973961492895e-07,3.473103431266054e-07,5.442954004422137e-07,7.163547345958446e-08,2.2900854101614675e-06,3.275454467024049e-07,3.015271478077905e-06,5.145250335412922e-06,5.67599695175976e-06,1.955438151821314e-05,7.951500499782102e-06,0.9999101396976754,5.497586686176561e-06,17
5.329194426636638e-09,1.4724537448487903e-06,3.911472448512414e-07,1.260387114369967e-08,0.9999861855387713,3.4149455000991914e-07,1.0934840566842092e-08,2.972299350294037e-09,4.226428357844853e-06,1.7270126185302674e-08,3.1842858751730475e-08,1.1075383957450516e-08,7.203874411201198e-06,7.80624242583674e-09,2.4818407185153883e-08,2.1276792700237782e-08,1.2613766276920795e-08,8.315363942032493e-09,1.2203773500424589e-08,4
1.519168807897979e-08,1.916597123937931e-05,0.002026614062329557,2.23913190590485e-08,2.6375325284470428e-08,2.4857683071578607e-08,2.0718908652270243e-08,1.1992373504091418e-08,7.979366439345736e-08,8.823310747927863e-09,0.9979536021873047,1.6125815943428287e-08,2.8862299663113752e-08,4.303908697603335e-08,3.145770746105647e-08,1.717126995928409e-08,2.0874341655485497e-07,4.676486976009557e-08,1.5470387505966264e-08,10
1.0066720656320976e-07,3.713190298354807e-05,1.400110699839959e-06,1.7659799778757168e-08,8.404750556768446e-09,0.9996077856126807,2.047657810738156e-08,1.4651338361366968e-06,2.955586458455962e-07,6.789207140219809e-10,0.0003444335246964358,6.172150408702439e-06,1.0671410640759614e-07,9.78480914173192e-09,1.523660172912652e-08,1.2806278176668836e-08,1.0057275321308694e-06,1.0496973841488393e-08,7.3524917505787665e-09,5
8.313767908417197e-07,3.4700697123587247e-06,2.2490662088204183e-06,9.873379691738376e-08,1.0211643104800227e-07,7.71868410716741e-08,8.709719066212876e-08,6.611103432697118e-08,1.0898251003409226e-06,0.00012617431785221582,5.155064761190584e-07,6.780721131737131e-08,9.274923602535612e-08,9.973775793542423e-05,0.9997640497855695,9.75874786725916e-07,8.585743529208445e-08,6.625414541473097e-08,1.625062455374868e-07,14
0.9989936105002223,0.0010008351585963017,4.589067387074486e-07,4.9655250232563395e-08,6.04887957547445e-08,9.025786554263492e-08,1.1460254531225151e-07,1.5598059637209894e-08,4.196488600597797e-08,6.058954293796196e-09,5.892376025873691e-08,4.340493775905068e-06,4.8519849554812717e-08,2.280320820330684e-08,4.873478478151573e-08,4.238004915992225e-08,5.8976515317592866e-08,3.887512505587097e-08,5.7101018615752085e-08,0
5.640462823965206e-06,0.9999918893397073,5.423797142719254e-07,1.3091867418559325e-07,7.975096051716964e-08,2.0854974303567043e-07,1.9810434961787947e-07,3.8696670214327016e-08,5.097160443964419e-08,7.995139797839822e-09,7.749587521117232e-08,7.171315568402971e-07,6.402429676104693e-08,3.0035586705200535e-08,6.428307603567366e-08,5.576409964411089e-08,7.772980487654095e-08,5.12119205441929e-08,7.515439614038657e-08,1
0.9999993690203277,9.988936976854557e-08,2.1742695661906558e-08,1.566421829646327e-08,1.9113746383290952e-08,2.865634290928396e-08,4.207813210574543e-08,4.949991558388416e-09,1.332853840866376e-08,2.036617528302166e-08,1.3464297206178369e-08,2.4703726414408337e-07,1.513619865569628e-08,8.59153938632257e-09,2.1182898478331012e-08,1.3426682131942395e-08,1.5932747818255737e-08,1.2322470964212706e-08,1.8096363128857572e-08,0
5.674091368179027e-08,4.1875297575127884e-05,9.741425625559178e-05,2.3972062246693714e-07,3.4250228903170994e-07,2.7570234276931427e-06,1.4222912978641794e-06,0.99983627185352,1.4507348895929196e-07,1.1834102801096855e-08,4.465890166487322e-07,9.711541662201644e-08,1.7694135433679114e-05,8.53019404060079e-08,1.932832684679048e-07,1.8688455129539796e-07,4.998388774657754e-07,1.5309192710424438e-07,1.0716607538926236e-07,7
