feature,dominant_step,mask_strength,global_importance,step_distribution,assignment_source
64,5,0.8187957231288688,0.14069457156295723,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.8187957231288688]",mask_based
19,0,0.4201449101636701,0.12601621835559032,"[0.4201449101636701, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
60,4,0.5953854811480023,0.11531905037443498,"[0.0, 0.0, 0.0, 0.0, 0.5953854811480023, 0.0]",mask_based
57,0,0.15124431398388505,0.1064952695670451,"[0.15124431398388505, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
59,2,0.5916076700004488,0.09222356407880904,"[0.0, 0.0, 0.5916076700004488, 0.0, 0.0, 0.0]",mask_based
70,0,0.13752038853183246,0.07638445635606649,"[0.13752038853183246, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
4,1,0.23263278125576176,0.07314370350196542,"[0.0, 0.23263278125576176, 0.0, 0.0, 0.0, 0.0]",mask_based
66,1,0.2655402089044091,0.07289303441301449,"[0.0, 0.2655402089044091, 0.0, 0.0, 0.0, 0.0]",mask_based
61,2,0.22372367520243785,0.06920805823085394,"[0.0, 0.0, 0.22372367520243785, 0.0, 0.0, 0.0]",mask_based
76,0,0.23481473288109414,0.037019526577669326,"[0.23481473288109414, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
24,1,0.2619752446687416,0.03150571124935132,"[0.0, 0.2619752446687416, 0.0, 0.0, 0.0, 0.0]",mask_based
42,1,0.18300880856505927,0.016473643571208726,"[0.0, 0.18300880856505927, 0.0, 0.0, 0.0, 0.0]",mask_based
10,3,0.6441516315393657,0.010082064444422976,"[0.0, 0.0, 0.0, 0.6441516315393657, 0.0, 0.0]",mask_based
13,1,0.05570961074609064,0.009046595330726272,"[0.0, 0.05570961074609064, 0.0, 0.0, 0.0, 0.0]",mask_based
40,0,0.05239392871526633,0.007102871625066668,"[0.05239392871526633, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
