feature,dominant_step,mask_strength,global_importance,step_distribution,assignment_source
22,0,0.3991970681449742,0.2853375542114936,"[0.3991970681449742, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
4,5,0.916504854368932,0.14010815517657835,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.916504854368932]",mask_based
2,1,0.2805180984214672,0.138323492288631,"[0.0, 0.2805180984214672, 0.0, 0.0, 0.0, 0.0]",mask_based
14,0,0.26333789993258355,0.11495876835045456,"[0.26333789993258355, 0.0, 0.0, 0.0, 0.20162346120019561, 0.0]",mask_based
27,1,0.3621070455578924,0.09467930924342596,"[0.0740148537367293, 0.3621070455578924, 0.0, 0.06908773195396349, 0.0, 0.0]",mask_based
30,4,0.6516898659826482,0.03607333926787618,"[0.0, 0.0, 0.0, 0.0, 0.6516898659826482, 0.0]",mask_based
3,0,0.1552958842041423,0.03572230754975732,"[0.1552958842041423, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
23,3,0.3646418108523471,0.03117000590728051,"[0.0, 0.0, 0.15236660438833885, 0.3646418108523471, 0.0, 0.0]",mask_based
29,2,0.1405088514957613,0.02748223714139707,"[0.007494104950173388, 0.0, 0.1405088514957613, 0.0, 0.0, 0.0]",mask_based
24,1,0.045263810991083536,0.01594679545412351,"[0.0, 0.045263810991083536, 0.0, 0.0199633723323785, 0.0, 0.0]",mask_based
20,2,0.16482180113931305,0.014456157721846679,"[0.0, 0.0, 0.16482180113931305, 6.32999012771162e-05, 0.0, 0.0]",mask_based
13,1,0.2952290675593811,0.013433288429039434,"[0.0010089311206225053, 0.2952290675593811, 0.0, 0.0, 0.0, 0.0]",mask_based
33,0,0.06545770393991933,0.012694948392431338,"[0.06545770393991933, 0.001473507082578048, 0.0, 0.0, 0.0, 0.0]",mask_based
19,2,0.2699932609946982,0.009491279125792371,"[0.0, 0.009286501916866858, 0.2699932609946982, 0.0, 0.0, 0.0]",mask_based
9,3,0.0829492490268448,0.009328116331115828,"[0.0, 0.0, 0.0, 0.0829492490268448, 0.0006468985844584345, 0.0]",mask_based
11,0,0.02952964334811979,0.006422715437271739,"[0.02952964334811979, 0.0018835647013580915, 0.0, 0.0, 0.0, 0.0]",mask_based
10,3,0.16213794402705814,0.003720200985723221,"[0.0005626006033814069, 0.0, 0.0, 0.16213794402705814, 0.0, 0.0]",mask_based
15,4,0.09590516240851393,0.0032240626653480256,"[0.0, 0.0, 0.0, 0.0, 0.09590516240851393, 0.027184466019417475]",mask_based
1,4,0.035968518025666765,0.0028245035456176044,"[0.00211217958950302, 0.0, 0.0, 0.0, 0.035968518025666765, 0.0]",mask_based
28,5,0.05436893203883495,0.002371241095858603,"[0.0010844733529877895, 0.0, 0.0, 0.0, 0.0, 0.05436893203883495]",mask_based
18,3,0.30115659190613087,0.001485379903239659,"[0.0, 0.0, 0.27230948198188853, 0.30115659190613087, 0.0, 0.0]",mask_based
26,1,0.0042384030749496905,0.00035391844402379147,"[9.189288593032985e-05, 0.0042384030749496905, 0.0, 0.0, 0.0, 0.0]",mask_based
12,0,0.0008127610660293727,0.0002511594172905789,"[0.0008127610660293727, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
17,5,0.001941747572815534,0.00010746106665700601,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001941747572815534]",mask_based
32,4,0.0006813740267336947,2.01403984406394e-05,"[0.0, 0.0, 0.0, 0.0, 0.0006813740267336947, 0.0]",mask_based
8,4,0.013484719656046154,1.3462449285436494e-05,"[0.0, 0.0, 0.0, 0.0, 0.013484719656046154, 0.0]",mask_based
6,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
16,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
7,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
5,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
21,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
25,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
31,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
34,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
35,0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",mask_based
